;;;;;;;;;;
;;;;;;;;;;
;;Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
;dummy;Dummy Classifier;0.8134;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4780
;nb;Naive Bayes;0.6090;0.6146;0.5694;0.2575;0.3529;0.1293;0.1499;0.4840
;knn;K Neighbors Classifier;0.6060;0.5957;0.5153;0.2417;0.3281;0.0997;0.1139;0.4740
;qda;Quadratic Discriminant Analysis;0.5995;0.6158;0.5916;0.2553;0.3553;0.1287;0.1530;0.4710
;et;Extra Trees Classifier;0.5662;0.6339;0.6868;0.2542;0.3704;0.1357;0.1766;0.4980
;lda;Linear Discriminant Analysis;0.5633;0.6161;0.6174;0.2394;0.3442;0.1041;0.1317;0.4760
;ridge;Ridge Classifier;0.5627;0.6162;0.6143;0.2385;0.3428;0.1023;0.1292;0.4730
;lr;Logistic Regression;0.5538;0.6151;0.6557;0.2421;0.3529;0.1116;0.1457;0.4920
;rf;Random Forest Classifier;0.5187;0.6369;0.7062;0.2354;0.3528;0.1021;0.1436;0.4970
;gbc;Gradient Boosting Classifier;0.5169;0.6223;0.6932;0.2330;0.3484;0.0964;0.1338;0.4980
;svm;SVM - Linear Kernel;0.5151;0.5755;0.5925;0.2150;0.3134;0.0555;0.0711;0.4770
;lightgbm;Light Gradient Boosting Machine;0.5104;0.6306;0.7192;0.2349;0.3539;0.1014;0.1434;0.7190
;ada;Ada Boost Classifier;0.5003;0.6099;0.6994;0.2278;0.3434;0.0864;0.1216;0.4840
;dt;Decision Tree Classifier;0.4985;0.5617;0.6625;0.2202;0.3304;0.0700;0.0970;0.4660